,Precio
2017-03-07,10178.39502567
2017-03-08,10153.60438371
2017-03-09,10167.08835196
2017-03-10,10120.2474593
2017-03-11,10134.82131014
2017-03-12,10249.9704872
2017-03-13,10045.00758152
2017-03-14,10045.00758152
2017-03-15,10056.27445942
2017-03-16,9995.17443102
2017-03-17,10223.61964263
2017-03-18,10323.09918104
2017-03-19,10337.23964588
2017-03-20,10353.92906359
2017-03-21,10353.92906359
2017-03-22,10398.17124859
2017-03-23,10246.88248589
2017-03-24,10158.67935326
2017-03-25,10115.6909977
2017-03-26,10056.10862856
2017-03-27,9949.26578602
2017-03-28,9949.26578602
2017-03-29,9789.87643367
2017-03-30,9967.83968552
2017-03-31,9769.89099554
2017-04-01,9710.68266174
2017-04-02,9682.71798051
2017-04-03,9639.95348992
2017-04-04,9639.95348992
2017-04-05,9574.77887699
2017-04-06,9468.31396049
2017-04-07,9394.79843999
2017-04-08,9271.8801533
2017-04-09,9089.61610751
2017-04-10,9111.64199075
2017-04-11,9111.64199075
2017-04-12,9190.97052561
2017-04-13,9146.03317068
2017-04-14,9094.77506467
2017-04-15,9128.97725691
2017-04-16,9226.24017951
2017-04-17,9259.66677746
2017-04-18,9259.66677746
2017-04-19,9266.52444816
2017-04-20,9402.53488656
2017-04-21,9491.76600201
2017-04-22,9516.74446646
2017-04-23,9503.77715515
2017-04-24,9581.77510053
2017-04-25,9581.77510053
2017-04-26,9583.62949093
2017-04-27,9851.12984124
2017-04-28,9794.45696655
2017-04-29,9977.60221021
2017-04-30,10016.91357149
2017-05-01,10282.11462089
2017-05-02,10282.11462089
2017-05-03,10278.36364216
2017-05-04,10134.99076459
2017-05-05,9948.1814893
2017-05-06,9899.8891493
2017-05-07,9821.37944852
2017-05-08,9903.7498031
2017-05-09,9903.7498031
2017-05-10,9927.46206297
2017-05-11,9991.63026961
2017-05-12,10028.72772862
2017-05-13,9958.09597557
2017-05-14,9905.47233159
2017-05-15,9758.63146817
2017-05-16,9758.63146817
2017-05-17,9743.84069163
2017-05-18,9601.82328408
2017-05-19,9617.0638117
2017-05-20,9665.30749571
2017-05-21,9547.11916426
2017-05-22,9495.47500882
2017-05-23,9495.47500882
2017-05-24,9473.49294769
2017-05-25,9482.9971542
2017-05-26,9375.27375582
2017-05-27,9393.32602105
2017-05-28,9465.75757649
2017-05-29,9474.66494258
2017-05-30,9474.66494258
2017-05-31,9443.55624758
2017-06-01,9417.96098786
2017-06-02,9535.44636524
2017-06-03,9563.77749378
2017-06-04,9435.39199221
2017-06-05,9410.06827304
2017-06-06,9410.06827304
2017-06-07,9413.60926963
2017-06-08,9147.52672439
2017-06-09,9140.6526778
2017-06-10,9103.21076745
2017-06-11,8977.72051836
2017-06-12,8962.60486841
2017-06-13,8969.93406323
2017-06-14,8901.45092565
2017-06-15,8837.16745261
2017-06-16,8964.03348296
2017-06-17,9069.09098106
2017-06-18,8970.59186843
2017-06-19,9128.73420071
2017-06-20,9128.73420071
2017-06-21,9161.04541823
2017-06-22,9237.51023955
2017-06-23,9315.83162205
2017-06-24,9295.82136721
2017-06-25,9278.4766765
2017-06-26,9483.64351704
2017-06-27,9483.64351704
2017-06-28,9430.02217415
2017-06-29,9468.11280419
2017-06-30,9423.65248239
2017-07-01,9520.15848778
2017-07-02,9508.64995631
2017-07-03,9569.09302997
2017-07-04,9569.09302997
2017-07-05,9552.45281454
2017-07-06,9597.2409605
2017-07-07,9530.72552599
2017-07-08,9477.268252
2017-07-09,9553.34801223
2017-07-10,9355.58323889
2017-07-11,9355.58323889
2017-07-12,9428.22484251
2017-07-13,9381.01150265
2017-07-14,9582.11920949
2017-07-15,9699.2525417
2017-07-16,9822.36038482
2017-07-17,9847.36827647
2017-07-18,9847.36827647
2017-07-19,9863.10559862
2017-07-20,9792.28330182
2017-07-21,9659.83423386
2017-07-22,9830.6979562
2017-07-23,9795.84544803
2017-07-24,9783.8741079
2017-07-25,9783.8741079
2017-07-26,9769.38583533
2017-07-27,9746.65822129
2017-07-28,9776.24557921
2017-07-29,9789.84040553
2017-07-30,9779.80678017
2017-07-31,9848.90113618
2017-08-01,9848.90113618
2017-08-02,9761.4360223
2017-08-03,10034.1782074
2017-08-04,10107.54734131
2017-08-05,10029.59521538
2017-08-06,10055.37088512
2017-08-07,10269.95868513
2017-08-08,10269.95868513
2017-08-09,10332.48554673
2017-08-10,10335.16398884
2017-08-11,10268.36967015
2017-08-12,10295.13341609
2017-08-13,10458.15276678
2017-08-14,10418.6900864
2017-08-15,10418.6900864
2017-08-16,10349.76293406
2017-08-17,10277.28516796
2017-08-18,10311.29418426
2017-08-19,10300.01737317
2017-08-20,10229.27184492
2017-08-21,10144.93758307
2017-08-22,10144.93758307
2017-08-23,10135.36930031
2017-08-24,9883.67382603
2017-08-25,9959.35666045
2017-08-26,9830.4045802
2017-08-27,9773.2852388
2017-08-28,9784.41777225
2017-08-29,9784.41777225
2017-08-30,9770.6561057
2017-08-31,9907.20697577
2017-09-01,9670.04021344
2017-09-02,9588.290865
2017-09-03,9641.61819217
2017-09-04,9524.91903359
2017-09-05,9524.91903359
2017-09-06,9515.84625596
2017-09-07,9475.44476777
2017-09-08,9566.76621647
2017-09-09,9518.08665755
2017-09-10,9550.14833477
2017-09-11,9629.01173166
2017-09-12,9626.06828997
2017-09-13,9681.36235021
2017-09-14,9787.70956832
2017-09-15,9805.44787746
2017-09-16,9857.55595148
2017-09-17,9930.4355456
2017-09-18,9974.49334377
2017-09-19,9974.49334377
2017-09-20,9952.70999375
2017-09-21,9832.97402666
2017-09-22,9741.36011416
2017-09-23,9628.84362322
2017-09-24,9773.05882062
2017-09-25,9714.36096399
2017-09-26,9714.36096399
2017-09-27,9732.50972441
2017-09-28,9734.75841452
2017-09-29,9625.91686256
2017-09-30,9635.64398824
2017-10-01,9565.07825531
2017-10-02,9616.18535831
2017-10-03,9616.18535831
2017-10-04,9563.61755043
2017-10-05,9587.23116857
2017-10-06,9529.96150155
2017-10-07,9777.20875275
2017-10-08,9749.57001058
2017-10-09,9628.87569458
2017-10-10,9628.87569458
2017-10-11,9641.60787226
2017-10-12,9742.95467599
2017-10-13,9661.91805841
2017-10-14,9725.36288837
2017-10-15,9729.54773421
2017-10-16,9602.51826806
2017-10-17,9602.51826806
2017-10-18,9626.22836021
2017-10-19,9665.13940661
2017-10-20,9654.38279331
2017-10-21,9732.39253544
2017-10-22,9700.72420824
2017-10-23,9827.15855067
2017-10-24,9841.31934458
2017-10-25,9796.63488985
2017-10-26,9666.06813559
2017-10-27,9616.32684179
2017-10-28,9667.70609539
2017-10-29,9700.1500123
2017-10-30,9636.23598975
2017-10-31,9636.23598975
2017-11-01,9606.73390697
2017-11-02,9667.14306865
2017-11-03,9589.51000669
2017-11-04,9370.78745871
2017-11-05,9252.64561431
2017-11-06,9317.26695462
2017-11-07,9317.26695462
2017-11-08,9284.0655499
2017-11-09,9247.14578293
2017-11-10,9155.6000006
2017-11-11,9073.19904641
2017-11-12,8931.5905116
2017-11-13,8967.55537668
2017-11-14,8967.55537668
2017-11-15,8933.01296961
2017-11-16,8956.37202102
2017-11-17,8920.11840964
2017-11-18,9031.82549798
2017-11-19,9022.51614682
2017-11-20,9102.78432443
2017-11-21,9102.78432443
2017-11-22,9102.2802244
2017-11-23,9135.14788336
2017-11-24,9105.845768
2017-11-25,9143.11858065
2017-11-26,9150.4208739
2017-11-27,9260.44218622
2017-11-28,9260.44218622
2017-11-29,9280.09563042
2017-11-30,9274.50982374
2017-12-01,9330.38821541
2017-12-02,9450.64651599
2017-12-03,9526.73714304
2017-12-04,9576.00362329
2017-12-05,9576.00362329
2017-12-06,9570.65595426
2017-12-07,9592.77442457
2017-12-08,9677.47985188
2017-12-09,9644.76696427
2017-12-10,9731.62535613
2017-12-11,9778.88937779
2017-12-12,9778.88937779
2017-12-13,9757.56697619
2017-12-14,9717.76291535
2017-12-15,9598.00061264
2017-12-16,9680.35860222
2017-12-17,9610.86666913
2017-12-18,9711.73803412
2017-12-19,9711.73803412
2017-12-20,9773.35324723
2017-12-21,9826.94964409
2017-12-22,9666.2155599
2017-12-23,9657.93146372
2017-12-24,9663.44778295
2017-12-25,9689.24153328
2017-12-26,9689.24153328
2017-12-27,9687.00263931
2017-12-28,9652.94620285
2017-12-29,9612.2277109
2017-12-30,9927.50364824
2017-12-31,9922.87404543
2018-01-01,9899.68641945
2018-01-02,9899.68641945
2018-01-03,9929.99348126
2018-01-04,9782.23501532
2018-01-05,9783.24610452
2018-01-06,9862.44327157
2018-01-07,9773.93979516
2018-01-08,9491.22500301
2018-01-09,9491.22500301
2018-01-10,9568.62696033
2018-01-11,9689.27545478
2018-01-12,9554.80608962
2018-01-13,9347.77877403
2018-01-14,9382.3377193
2018-01-15,9374.64211394
2018-01-16,9374.64211394
2018-01-17,9453.65376619
2018-01-18,9513.56594758
2018-01-19,9529.03452126
2018-01-20,9667.2230864
2018-01-21,9620.667323
2018-01-22,9495.19556096
2018-01-23,9495.19556096
2018-01-24,9581.20816751
